Manufacturer,Model,Graphics Processor,Core Clock [MHz],Boost Clock [MHz],Memory Type,Memory Size [GB],Memory Bus Width [bit],Memory Clock [MHz],Power Consumption Idle [W],Power Consumption MAX [W],Noise Idle [dBA],Noise Gaming [dBA],Temperature Max [°C]
AMD,Radeon R9 Fury X ,Fiji,1050,,HBM,4,4096,500,,282.01,,,51.0
AMD,Radeon RX 560,Polaris 21,1175,1326,GDDR5,4,128,1750,8.13,100.17,,,
AMD,Radeon RX 570,Ellesmere,1244,1300,GDDR5,4,128,1750,13.26,184.89,,,
AMD,Radeon RX 5700,Navi 10,1371,1704,GDDR6,8,256,1750,11.83,183.00,,,
AMD,Radeon RX 5700 vanilla,Navi 10,1465,1725 ,GDDR6,8,256,1750,,69.02,,,66.0
AMD,Radeon RX 5700 XT,Navi 10,1605,2078,GDDR6,8,256,1750,12.15,243.39,,,
AMD,Radeon RX 580,Ellesmere,1257,1340,GDDR5,8,256,2000,11.21,233.88,,,
AMD,Radeon RX 6800 Vanilla,Navi 21,1700,2105 ,GDDR6,16,256,2000,,,,,
AMD,Radeon RX 6800 XT,Navi 21,1825,2250 ,GDDR6,16,256,2000,,,,,
AMD,Radeon RX Vega 56,Vega 10,1156,1425,HBM2,8,2048,800,13.44,231.63,,,
AMD,Radeon RX Vega 64,Vega 10,1274,1583,HBM2,8,2048,945,14.35,339.72,,,
AMD,Radeon VII ,Vega 20,1400,1750,HBM2,16,4096,1000,,284.90,,,72.0
AMD,RX 6800 XT OC,Navi 21,1825,2250 ,GDDR6,16,256,2000,,,,,
AMD,RX 6800 XT RageMode,Navi 21,1825,2250 ,GDDR6,16,,2000,,,,,
ASUS,Rog Strix 580 OC,Polaris 20,1257,1340,GDDR5,8,256,2000,11.53,190.98,,32.30,62.0
ASUS,Rog Strix RTX 2060 OC,TU106,1365,1995,GDDR6,6,192,1750,10.69,173.61,,15.50,60.0
ASUS,Rog Strix RTX 2060 Super 8G Gaming,TU106,1470,1650,GDDR6,8,256,1750,,176.70,,,
ASUS,Rog Strix RTX 2080 OC,TU104,1515,1755,GDDR6,8,256,1750,11.30,253.05,,,74.0
ASUS,Rog Strix RTX 2080 Super Advanced - Performance Mode,TU104,1650,2025,GDDR6,8,256,1940,12.96,231.43,,23.50,57.0
ASUS,Rog Strix RTX 2080 Super Advanced - Silent,TU104,1650,2025,GDDR6,8,256,1940,12.92,236.70,,23.50,55.0
ASUS,Rog Strix RTX 2080 Ti OC,TU102,1365,1950,GDDR6,11,352,1750,23.33,291.22,,,55.0
ASUS,Rog Strix RTX 3070 Gaming,GA104,1725,1755,GDDR6,8,256,1750,15.80,228.00,,19.40,58.1
ASUS,Rog Strix RTX 3090 Gaming OC,GA102,1395,1860,GDDR6X,24,384,1219,38.25,392.00,,,64.0
ASUS,Rog Strix RTX 3090 Gaming OC - 123% Power Limit,GA102,1395,1860,GDDR6X,24,384,1219,38.43,465.16,,,68.0
ASUS,Rog Strix VEGA 56 OC,Vega 10,1297,1573,HBM2,6,2048,800,12.16,309.59,,25.60,68.0
ASUS,RTX 3080 TUF Gaming OC,GA102,1440,1950,GDDR6X,10,320,1188,30.60,363.89,,,61.0
